epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.43533,2.05244,6.78563,1.54022,0,0,0,0,2.37249,5.88966,2.58755,2.307e-05,2.307e-05,2.307e-05
2,3.9926,2.13432,7.16887,1.62167,0,0,0,0,2.36515,5.7637,2.56061,5.32971e-05,5.32971e-05,5.32971e-05
3,5.40651,2.04958,6.44579,1.4901,0,0,0,0,2.41673,5.76804,2.56265,8.29151e-05,8.29151e-05,8.29151e-05
4,6.88836,2.17865,7.67703,1.63507,0.67446,0.06667,0.11634,0.035,2.26892,4.39191,1.67688,0.000111924,0.000111924,0.000111924
5,8.85963,2.14054,4.58781,1.49373,0.75007,0.4,0.54517,0.23503,1.95325,4.70587,1.27569,0.000140324,0.000140324,0.000140324
6,10.8689,1.49968,3.84256,1.12507,0.42879,0.51479,0.6305,0.34112,1.91915,2.93751,1.19226,0.000168115,0.000168115,0.000168115
7,12.8541,1.5568,4.06238,1.19584,0.55333,0.8,0.69179,0.31668,1.82735,3.58824,1.34502,0.000195297,0.000195297,0.000195297
8,14.6554,1.42216,3.64052,1.16427,0.5439,0.73333,0.6682,0.37752,1.66611,2.88543,1.24772,0.00022187,0.00022187,0.00022187
9,16.5008,1.44459,3.43141,1.12433,0.64662,0.58668,0.5243,0.33025,1.31043,3.24267,1.15612,0.000247833,0.000247833,0.000247833
10,18.3377,1.34273,3.47678,1.07183,0.75237,0.6,0.45373,0.28568,1.58509,6.02382,1.29791,0.000273188,0.000273188,0.000273188
11,20.1709,1.33143,3.31469,1.08786,0.72109,0.4,0.43468,0.28367,1.54426,28.7586,1.22377,0.000297934,0.000297934,0.000297934
12,22.0967,1.44907,3.47915,1.16197,0.62919,0.4,0.44226,0.28705,1.34803,10.848,1.14471,0.00032207,0.00032207,0.00032207
13,23.8636,1.37357,3.27664,1.15902,0.79496,0.26667,0.34323,0.22819,1.38181,4.26529,1.1728,0.000345598,0.000345598,0.000345598
14,25.6433,1.32158,3.26085,1.07673,0.53913,0.5,0.36399,0.21268,1.5808,4.43311,1.33725,0.000368516,0.000368516,0.000368516
15,27.4232,1.30174,2.76366,1.10313,0.23155,0.88006,0.55388,0.3077,1.54534,7.18404,1.36056,0.000390826,0.000390826,0.000390826
16,29.1686,1.66482,2.73066,1.23307,0.23155,0.88006,0.55388,0.3077,1.54534,7.18404,1.36056,0.000412526,0.000412526,0.000412526
17,30.9699,1.31443,2.51002,1.09608,0.1251,0.8,0.41667,0.16233,1.69813,13.8269,1.50844,0.000433618,0.000433618,0.000433618
18,32.7535,1.3523,2.47046,1.18751,0.23825,0.7,0.36988,0.20019,1.51109,12.8013,1.36485,0.0004541,0.0004541,0.0004541
19,34.5319,1.46594,2.34415,1.19799,0.23825,0.7,0.36988,0.20019,1.51109,12.8013,1.36485,0.000473973,0.000473973,0.000473973
20,36.3177,1.32044,2.33538,1.16202,0.2991,0.83333,0.47583,0.29461,1.41973,3.1396,1.30705,0.000493237,0.000493237,0.000493237
21,38.1052,1.27862,2.19972,1.11767,0.36936,1,0.58139,0.37289,1.33076,2.81086,1.2875,0.000511893,0.000511893,0.000511893
22,39.9077,1.16679,2.09204,1.07974,0.36936,1,0.58139,0.37289,1.33076,2.81086,1.2875,0.000529939,0.000529939,0.000529939
23,41.7107,1.27302,2.1544,1.1467,0.75715,0.36676,0.57413,0.3144,1.49085,2.39376,1.45026,0.000547376,0.000547376,0.000547376
24,43.5599,1.28169,2.37758,1.22026,0.75715,0.36676,0.57413,0.3144,1.49085,2.39376,1.45026,0.000564204,0.000564204,0.000564204
25,45.3589,1.36476,2.13773,1.18217,0.32242,0.43333,0.50384,0.34278,1.52989,3.66753,1.52633,0.000580423,0.000580423,0.000580423
26,47.1117,1.49484,2.07999,1.19154,0.32242,0.43333,0.50384,0.34278,1.52989,3.66753,1.52633,0.000578672,0.000578672,0.000578672
27,48.8925,1.36117,1.96015,1.18082,0.60886,0.13333,0.27202,0.17139,1.51794,2.86207,1.47208,0.000571059,0.000571059,0.000571059
28,50.634,1.28236,1.86568,1.20937,0.60886,0.13333,0.27202,0.17139,1.51794,2.86207,1.47208,0.000563446,0.000563446,0.000563446
29,52.4094,1.28153,2.0009,1.19951,0.36488,0.82106,0.72137,0.33007,1.9346,1.6723,1.73263,0.000555833,0.000555833,0.000555833
