epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.03932,0.73348,2.33008,2.66866,1.2848,0.00333,1,0.41414,0.27814,0.00333,1,0.42914,0.25257,1.21136,2.58932,2.79487,2.065,6e-05,6e-05,6e-05
2,7.08427,0.8098,2.5214,2.67534,1.34788,0.00333,1,0.54777,0.32127,0.00333,1,0.53976,0.30864,1.12535,2.18546,2.79755,1.90682,0.000138614,0.000138614,0.000138614
3,8.04145,0.68986,2.49614,2.60604,1.21709,0.00333,1,0.79051,0.65158,0.00333,1,0.79051,0.67939,0.20147,0.40794,2.606,0.7727,0.000215644,0.000215644,0.000215644
4,9.05504,0.36714,0.72903,2.43141,0.94465,0.00333,1,0.995,0.995,0.00333,1,0.995,0.995,0.14469,0.33655,2.57592,0.73218,0.00029109,0.00029109,0.00029109
5,10.0643,0.31543,0.45031,2.05928,0.9103,0.00333,1,0.995,0.92479,0.00333,1,0.995,0.995,0.23891,0.3109,2.55137,0.81117,0.000364952,0.000364952,0.000364952
6,11.0903,0.41618,0.40049,1.77404,0.94423,0.00333,1,0.995,0.98139,0.00333,1,0.995,0.995,0.23904,0.46559,2.54655,0.78354,0.00043723,0.00043723,0.00043723
7,12.1201,0.38678,0.42023,1.65295,0.93731,0.00333,1,0.995,0.60983,0.00333,1,0.995,0.60442,0.70681,3.15916,2.76893,1.31297,0.000507924,0.000507924,0.000507924
8,13.1227,0.35271,0.28389,1.46447,0.8815,0.00333,1,0.995,0.56515,0.00333,1,0.995,0.39431,1.20965,5.87207,2.79566,1.53123,0.000577034,0.000577034,0.000577034
9,14.1247,0.49576,0.37562,1.3769,0.98981,0.00333,1,0.995,0.56402,0.00333,1,0.995,0.37754,1.11525,6.34173,2.8132,1.3891,0.00064456,0.00064456,0.00064456
10,15.1259,0.43263,0.33721,1.2281,0.92694,0.00333,1,0.995,0.76137,0.00333,1,0.995,0.7612,0.73274,2.47317,2.6361,1.23567,0.000710502,0.000710502,0.000710502
